"id" "genere" "peso" "altezza"
"1" "baby1" "f" 7.42464626936803 62.0772179138567
"2" "baby2" "m" 7.44272670864425 58.1887702795233
"3" "baby3" "f" 9.5125982534099 84.5273710659643
"4" "baby4" "f" 11.3063490927235 85.1357326615277
"5" "baby5" "m" 9.34516521529707 75.2378270481073
"6" "baby6" "m" 5.41129013882546 46.8016263161908
"7" "baby7" "m" 17.3428403549558 99.2182502658856
"8" "baby8" "f" 11.1519128090981 90.0115098830409
"9" "baby9" "f" 11.8549908133872 82.2179017844559
"10" "baby10" "f" 8.90601340622523 65.3536030689791
